"","repo","user","nationality"
0,"GRASS-GIS/grass-ci","wenzeslaus",""
1,"GRASS-GIS/grass-ci","petrasovaa","Raleigh, USA"
2,"GRASS-GIS/grass-ci","jachym",""
3,"GRASS-GIS/grass-ci","HuidaeCho","Atlanta, GA"
4,"GRASS-GIS/grass-ci","zarch","italy"
5,"GRASS-GIS/grass-ci","ostepok",""
6,"GRASS-GIS/grass-ci","HamishB",""
7,"GRASS-GIS/grass-ci","neteler",""
8,"GRASS-GIS/grass-ci","YannChemin","JRC, Ispra, Italy"
9,"GRASS-GIS/grass-ci","mlennert",""
10,"GRASS-GIS/grass-ci","landam","Prague, Czech Republic"
11,"GRASS-GIS/grass-ci","lucadelu","San Michele all'Adige (TN -Italy)"
12,"GRASS-GIS/grass-ci","huhabla",""
13,"GRASS-GIS/grass-ci","glynnc",""
14,"GeoNode/geonode","dkastl","Kobe && Munich"
15,"GeoNode/geonode","mikefedak",""
16,"GeoNode/geonode","rmarianski","New York City"
17,"GeoNode/geonode","george-silva","Uberlândia"
18,"GeoNode/geonode","sarasafavi",""
19,"GeoNode/geonode","zunware",""
20,"GeoNode/geonode","collaer","belgium"
21,"GeoNode/geonode","boney-bun",""
22,"GeoNode/geonode","francbartoli","Rome, IT"
23,"GeoNode/geonode","iamsarin",""
24,"GeoNode/geonode","d3netxer","United States"
25,"GeoNode/geonode","smesdaghi","VA, USA"
26,"GeoNode/geonode","GuidoS","Boston, MA"
27,"GeoNode/geonode","tomkralidis","Toronto, Ontario, Canada"
28,"GeoNode/geonode","allyoucanmap",""
29,"GeoNode/geonode","simod","Ispra, Italy"
30,"GeoNode/geonode","mwengren","Silver Spring, MD"
31,"GeoNode/geonode","chrispatterson",""
32,"GeoNode/geonode","BerryDaniel","Austin"
33,"GeoNode/geonode","menegon",""
34,"GeoNode/geonode","ezzine","Cairo, Egypt"
35,"GeoNode/geonode","GistdaDev",""
36,"GeoNode/geonode","Nathan-Wang",""
37,"GeoNode/geonode","machakux","Tanzania"
38,"GeoNode/geonode","waybarrios",""
39,"GeoNode/geonode","jj0hns0n","Oceanside, California"
40,"GeoNode/geonode","tschaub",""
41,"GeoNode/geonode","ricardogsilva",""
42,"GeoNode/geonode","drwelby","Windsor, CO"
43,"GeoNode/geonode","davisc",""
44,"GeoNode/geonode","mweisman","Cascadia"
45,"GeoNode/geonode","MINDoSOFT",""
46,"GeoNode/geonode","gonrial",""
47,"GeoNode/geonode","lucacasagrande","München"
48,"GeoNode/geonode","gsolat",""
49,"GeoNode/geonode","JivanAmara","San Diego"
50,"GeoNode/geonode","nathanhilbert",""
51,"GeoNode/geonode","hishamkaram","Egypt"
52,"GeoNode/geonode","vdeparday",""
53,"GeoNode/geonode","matthewhanson","Dover, NH"
54,"GeoNode/geonode","auvipy","Dhaka, Bangladesh"
55,"GeoNode/geonode","tlpinney","Arlington, VA"
56,"GeoNode/geonode","jonas-veselka",""
57,"GeoNode/geonode","frippe12573","Pisa"
58,"GeoNode/geonode","davicustodio","Brasil"
59,"GeoNode/geonode","emerkle826",""
60,"GeoNode/geonode","glennvorhes",""
61,"GeoNode/geonode","sbsimo",""
62,"GeoNode/geonode","ischneider",""
63,"GeoNode/geonode","milafrerichs","Münster, Germany"
64,"GeoNode/geonode","eomwandho",""
65,"GeoNode/geonode","cityhubla",""
66,"GeoNode/geonode","cristinao",""
67,"GeoNode/geonode","dimitri-justeau",""
68,"GeoNode/geonode","ingenieroariel","Barranquilla, Colombia"
69,"GeoNode/geonode","Gpetrak","Heraklion, Greece "
70,"GeoNode/geonode","harts-boundless",""
71,"GeoNode/geonode","glarrain","Santiago, Chile"
72,"GeoNode/geonode","invalid-email-address",""
73,"GeoNode/geonode","kalxas","Athens, Greece"
74,"GeoNode/geonode","Coop56","Green, Ohio"
75,"GeoNode/geonode","alaw005","New Zealand"
76,"GeoNode/geonode","theduckylittle","Minneapolis, MN, USA"
77,"GeoNode/geonode","al3mon",""
78,"GeoNode/geonode","joebocop","Whitehorse, Yukon, Canada"
79,"GeoNode/geonode","groldan","Rosario, Santa Fe, Argentina"
80,"GeoNode/geonode","Gustry","France, Africa and Asia"
81,"GeoNode/geonode","amirahav",""
82,"GeoNode/geonode","pjdufour","Washington, DC, USA"
83,"GeoNode/geonode","dwilhelm89","Münster"
84,"GeoNode/geonode","code-geek","Kathmandu, Nepal"
85,"GeoNode/geonode","stan4gis",""
86,"GeoNode/geonode","teamgeode",""
87,"GeoNode/geonode","benjwadams","South Kingstown, RI"
88,"GeoNode/geonode","karakostis",""
89,"GeoNode/geonode","davelowe","Argyle, Texas"
90,"GeoNode/geonode","crabtree",""
91,"GeoNode/geonode","mapplus","Seoul, Korea"
92,"GeoNode/geonode","nastasi-oq","Italy"
93,"GeoNode/geonode","capooti","Cambridge US"
94,"GeoNode/geonode","JorgeMartinezG","Barranquilla, Colombia"
95,"GeoNode/geonode","ahmednoureldeen","Cairo, Egypt"
96,"GeoNode/geonode","etj","Rome, Italy"
97,"GeoNode/geonode","lukerees",""
98,"GeoNode/geonode","cristianzamar","Formosa, Argentina"
99,"GeoNode/geonode","assefay",""
100,"GeoNode/geonode","warex03","Manila, Philippines"
101,"GeoNode/geonode","ict4eo","Pretoria, South Africa"
102,"GeoNode/geonode","state-hiu-dev","Washington, DC"
103,"GeoNode/geonode","iwillig","New York City"
104,"GeoNode/geonode","chrismayer",""
105,"GeoNode/geonode","chrisjones-brack3t","Moscow, ID"
